Country,Happiness Rank,Happiness Score,GDP,Life Expectancy,Freedom,Corruption,Generosity,Year
Italy,50,5.948,1.251,0.954,0.262,0.029,0.228,2015
Italy,50,5.977,1.354,0.851,0.188,0.025,0.166,2016
Italy,48,5.964,1.395,0.853,0.256,0.028,0.172,2017
Italy,47,6.000,1.264,0.946,0.281,0.028,0.137,2018
Italy,36,6.223,1.294,1.039,0.231,0.030,0.158,2019
